date,ticker,roe,roa,pb,pe,debt_ratio,eps
2025-04-30,2330.TW,0.28,0.19,5.6,23.1,0.31,8.2
2025-04-30,2317.TW,0.13,0.07,1.8,14.5,0.48,2.6
2025-04-30,2454.TW,0.22,0.15,4.9,20.2,0.27,5.1
2025-04-30,2308.TW,0.17,0.1,2.4,16.8,0.35,3.4
2025-04-30,2881.TW,0.11,0.01,1.3,12.7,0.82,1.1
2025-04-30,2882.TW,0.1,0.01,1.2,11.8,0.84,0.9
2025-04-30,2891.TW,0.09,0.01,1.1,10.9,0.85,0.7
2025-04-30,1301.TW,0.12,0.08,1.7,15.1,0.44,2.4
2025-04-30,1303.TW,0.11,0.07,1.5,14.2,0.46,2.0
2025-04-30,2002.TW,0.08,0.05,1.1,13.4,0.5,1.3
2025-05-31,2330.TW,0.285,0.192,5.61,23.138,0.31,8.205
2025-05-31,2317.TW,0.135,0.072,1.81,14.538,0.48,2.605
2025-05-31,2454.TW,0.225,0.152,4.91,20.238,0.27,5.105
2025-05-31,2308.TW,0.175,0.102,2.41,16.838,0.35,3.405
2025-05-31,2881.TW,0.115,0.012,1.31,12.738,0.82,1.105
2025-05-31,2882.TW,0.105,0.012,1.21,11.838,0.84,0.905
2025-05-31,2891.TW,0.095,0.012,1.11,10.938,0.85,0.705
2025-05-31,1301.TW,0.125,0.082,1.71,15.138,0.44,2.405
2025-05-31,1303.TW,0.115,0.072,1.51,14.238,0.46,2.005
2025-05-31,2002.TW,0.085,0.052,1.11,13.438,0.5,1.305
2025-06-30,2330.TW,0.288,0.194,5.617,23.167,0.31,8.208
2025-06-30,2317.TW,0.138,0.074,1.817,14.567,0.48,2.608
2025-06-30,2454.TW,0.228,0.154,4.917,20.267,0.27,5.108
2025-06-30,2308.TW,0.178,0.104,2.417,16.867,0.35,3.408
2025-06-30,2881.TW,0.118,0.014,1.317,12.767,0.82,1.108
2025-06-30,2882.TW,0.108,0.014,1.217,11.867,0.84,0.908
2025-06-30,2891.TW,0.098,0.014,1.117,10.967,0.85,0.708
2025-06-30,1301.TW,0.128,0.084,1.717,15.167,0.44,2.408
2025-06-30,1303.TW,0.118,0.074,1.517,14.267,0.46,2.008
2025-06-30,2002.TW,0.088,0.054,1.117,13.467,0.5,1.308
