date,ticker,esg_total,e_score,s_score,g_score,controversy_score,carbon_intensity
2025-04-30,2330.TW,82.0,84.0,79.0,83.0,1,12.5
2025-04-30,2317.TW,74.0,70.0,76.0,77.0,2,18.2
2025-04-30,2454.TW,78.0,76.0,77.0,81.0,1,14.8
2025-04-30,2308.TW,72.0,68.0,75.0,74.0,2,20.1
2025-04-30,2881.TW,80.0,71.0,83.0,86.0,1,9.7
2025-04-30,2882.TW,79.0,70.0,82.0,85.0,1,9.4
2025-04-30,2891.TW,77.0,68.0,81.0,83.0,1,10.1
2025-04-30,1301.TW,71.0,69.0,70.0,74.0,2,21.2
2025-04-30,1303.TW,70.0,67.0,71.0,73.0,2,22.0
2025-04-30,2002.TW,68.0,63.0,69.0,72.0,2,25.5
2025-05-31,2330.TW,82.25,84.25,79.17,83.2,1,12.43
2025-05-31,2317.TW,74.25,70.25,76.17,77.2,2,18.09
2025-05-31,2454.TW,78.25,76.25,77.17,81.2,1,14.71
2025-05-31,2308.TW,72.25,68.25,75.17,74.2,2,19.98
2025-05-31,2881.TW,80.25,71.25,83.17,86.2,1,9.64
2025-05-31,2882.TW,79.25,70.25,82.17,85.2,1,9.34
2025-05-31,2891.TW,77.25,68.25,81.17,83.2,1,10.04
2025-05-31,1301.TW,71.25,69.25,70.17,74.2,2,21.07
2025-05-31,1303.TW,70.25,67.25,71.17,73.2,2,21.87
2025-05-31,2002.TW,68.25,63.25,69.17,72.2,2,25.35
2025-06-30,2330.TW,82.5,84.5,79.35,83.4,1,12.35
2025-06-30,2317.TW,74.5,70.5,76.35,77.4,2,17.98
2025-06-30,2454.TW,78.5,76.5,77.35,81.4,1,14.62
2025-06-30,2308.TW,72.5,68.5,75.35,74.4,2,19.86
2025-06-30,2881.TW,80.5,71.5,83.35,86.4,1,9.58
2025-06-30,2882.TW,79.5,70.5,82.35,85.4,1,9.29
2025-06-30,2891.TW,77.5,68.5,81.35,83.4,1,9.98
2025-06-30,1301.TW,71.5,69.5,70.35,74.4,2,20.95
2025-06-30,1303.TW,70.5,67.5,71.35,73.4,2,21.74
2025-06-30,2002.TW,68.5,63.5,69.35,72.4,2,25.19
2025-07-31,2330.TW,82.75,84.75,79.53,83.6,1,12.28
2025-07-31,2317.TW,74.75,70.75,76.53,77.6,2,17.87
2025-07-31,2454.TW,78.75,76.75,77.53,81.6,1,14.53
2025-07-31,2308.TW,72.75,68.75,75.53,74.6,2,19.74
2025-07-31,2881.TW,80.75,71.75,83.53,86.6,1,9.53
2025-07-31,2882.TW,79.75,70.75,82.53,85.6,1,9.23
2025-07-31,2891.TW,77.75,68.75,81.53,83.6,1,9.92
2025-07-31,1301.TW,71.75,69.75,70.53,74.6,2,20.82
2025-07-31,1303.TW,70.75,67.75,71.53,73.6,2,21.6
2025-07-31,2002.TW,68.75,63.75,69.53,72.6,2,25.04
2025-08-31,2330.TW,83.0,85.0,79.7,83.8,1,12.2
2025-08-31,2317.TW,75.0,71.0,76.7,77.8,2,17.76
2025-08-31,2454.TW,79.0,77.0,77.7,81.8,1,14.44
2025-08-31,2308.TW,73.0,69.0,75.7,74.8,2,19.62
2025-08-31,2881.TW,81.0,72.0,83.7,86.8,1,9.47
2025-08-31,2882.TW,80.0,71.0,82.7,85.8,1,9.17
2025-08-31,2891.TW,78.0,69.0,81.7,83.8,1,9.86
2025-08-31,1301.TW,72.0,70.0,70.7,74.8,2,20.69
2025-08-31,1303.TW,71.0,68.0,71.7,73.8,2,21.47
2025-08-31,2002.TW,69.0,64.0,69.7,72.8,2,24.89
2025-09-30,2330.TW,83.25,85.25,79.88,84.0,1,12.12
2025-09-30,2317.TW,75.25,71.25,76.88,78.0,2,17.65
2025-09-30,2454.TW,79.25,77.25,77.88,82.0,1,14.36
2025-09-30,2308.TW,73.25,69.25,75.88,75.0,2,19.5
2025-09-30,2881.TW,81.25,72.25,83.88,87.0,1,9.41
2025-09-30,2882.TW,80.25,71.25,82.88,86.0,1,9.12
2025-09-30,2891.TW,78.25,69.25,81.88,84.0,1,9.8
2025-09-30,1301.TW,72.25,70.25,70.88,75.0,2,20.56
2025-09-30,1303.TW,71.25,68.25,71.88,74.0,2,21.34
2025-09-30,2002.TW,69.25,64.25,69.88,73.0,2,24.73
2025-10-31,2330.TW,83.5,85.5,80.05,84.2,1,12.05
2025-10-31,2317.TW,75.5,71.5,77.05,78.2,2,17.54
2025-10-31,2454.TW,79.5,77.5,78.05,82.2,1,14.27
2025-10-31,2308.TW,73.5,69.5,76.05,75.2,2,19.38
2025-10-31,2881.TW,81.5,72.5,84.05,87.2,1,9.35
2025-10-31,2882.TW,80.5,71.5,83.05,86.2,1,9.06
2025-10-31,2891.TW,78.5,69.5,82.05,84.2,1,9.74
2025-10-31,1301.TW,72.5,70.5,71.05,75.2,2,20.44
2025-10-31,1303.TW,71.5,68.5,72.05,74.2,2,21.21
2025-10-31,2002.TW,69.5,64.5,70.05,73.2,2,24.58
2025-11-30,2330.TW,83.75,85.75,80.22,84.4,1,11.97
2025-11-30,2317.TW,75.75,71.75,77.22,78.4,2,17.44
2025-11-30,2454.TW,79.75,77.75,78.22,82.4,1,14.18
2025-11-30,2308.TW,73.75,69.75,76.22,75.4,2,19.26
2025-11-30,2881.TW,81.75,72.75,84.22,87.4,1,9.29
2025-11-30,2882.TW,80.75,71.75,83.22,86.4,1,9.01
2025-11-30,2891.TW,78.75,69.75,82.22,84.4,1,9.68
2025-11-30,1301.TW,72.75,70.75,71.22,75.4,2,20.31
2025-11-30,1303.TW,71.75,68.75,72.22,74.4,2,21.08
2025-11-30,2002.TW,69.75,64.75,70.22,73.4,2,24.43
2025-12-31,2330.TW,84.0,86.0,80.4,84.6,1,11.9
2025-12-31,2317.TW,76.0,72.0,77.4,78.6,2,17.33
2025-12-31,2454.TW,80.0,78.0,78.4,82.6,1,14.09
2025-12-31,2308.TW,74.0,70.0,76.4,75.6,2,19.14
2025-12-31,2881.TW,82.0,73.0,84.4,87.6,1,9.23
2025-12-31,2882.TW,81.0,72.0,83.4,86.6,1,8.95
2025-12-31,2891.TW,79.0,70.0,82.4,84.6,1,9.62
2025-12-31,1301.TW,73.0,71.0,71.4,75.6,2,20.18
2025-12-31,1303.TW,72.0,69.0,72.4,74.6,2,20.94
2025-12-31,2002.TW,70.0,65.0,70.4,73.6,2,24.28
2026-01-31,2330.TW,84.25,86.25,80.58,84.8,1,11.82
2026-01-31,2317.TW,76.25,72.25,77.58,78.8,2,17.22
2026-01-31,2454.TW,80.25,78.25,78.58,82.8,1,14.0
2026-01-31,2308.TW,74.25,70.25,76.58,75.8,2,19.01
2026-01-31,2881.TW,82.25,73.25,84.58,87.8,1,9.18
2026-01-31,2882.TW,81.25,72.25,83.58,86.8,1,8.89
2026-01-31,2891.TW,79.25,70.25,82.58,84.8,1,9.55
2026-01-31,1301.TW,73.25,71.25,71.58,75.8,2,20.06
2026-01-31,1303.TW,72.25,69.25,72.58,74.8,2,20.81
2026-01-31,2002.TW,70.25,65.25,70.58,73.8,2,24.12
2026-02-28,2330.TW,84.5,86.5,80.75,85.0,1,11.75
2026-02-28,2317.TW,76.5,72.5,77.75,79.0,2,17.11
2026-02-28,2454.TW,80.5,78.5,78.75,83.0,1,13.91
2026-02-28,2308.TW,74.5,70.5,76.75,76.0,2,18.89
2026-02-28,2881.TW,82.5,73.5,84.75,88.0,1,9.12
2026-02-28,2882.TW,81.5,72.5,83.75,87.0,1,8.84
2026-02-28,2891.TW,79.5,70.5,82.75,85.0,1,9.49
2026-02-28,1301.TW,73.5,71.5,71.75,76.0,2,19.93
2026-02-28,1303.TW,72.5,69.5,72.75,75.0,2,20.68
2026-02-28,2002.TW,70.5,65.5,70.75,74.0,2,23.97
2026-03-31,2330.TW,84.75,86.75,80.92,85.2,1,11.67
2026-03-31,2317.TW,76.75,72.75,77.92,79.2,2,17.0
2026-03-31,2454.TW,80.75,78.75,78.92,83.2,1,13.82
2026-03-31,2308.TW,74.75,70.75,76.92,76.2,2,18.77
2026-03-31,2881.TW,82.75,73.75,84.92,88.2,1,9.06
2026-03-31,2882.TW,81.75,72.75,83.92,87.2,1,8.78
2026-03-31,2891.TW,79.75,70.75,82.92,85.2,1,9.43
2026-03-31,1301.TW,73.75,71.75,71.92,76.2,2,19.8
2026-03-31,1303.TW,72.75,69.75,72.92,75.2,2,20.55
2026-03-31,2002.TW,70.75,65.75,70.92,74.2,2,23.82
