date,ticker,close
2025-04-24,0050.TW,195.0
2025-04-25,0050.TW,194.72
2025-04-28,0050.TW,194.39
2025-04-29,0050.TW,192.5
2025-04-30,0050.TW,191.25
2025-05-01,0050.TW,191.8
2025-05-02,0050.TW,193.89
2025-05-05,0050.TW,195.29
2025-05-06,0050.TW,194.02
2025-05-07,0050.TW,193.51
2025-05-08,0050.TW,193.35
2025-05-09,0050.TW,196.14
2025-05-12,0050.TW,197.27
2025-05-13,0050.TW,199.21
2025-05-14,0050.TW,197.8
2025-05-15,0050.TW,197.71
2025-05-16,0050.TW,197.14
2025-05-19,0050.TW,197.18
2025-05-20,0050.TW,197.33
2025-05-21,0050.TW,197.63
2025-05-22,0050.TW,199.01
2025-05-23,0050.TW,199.51
2025-05-26,0050.TW,201.53
2025-05-27,0050.TW,199.57
2025-05-28,0050.TW,200.73
2025-05-29,0050.TW,201.11
2025-05-30,0050.TW,201.26
2025-06-02,0050.TW,202.35
2025-06-03,0050.TW,202.63
2025-06-04,0050.TW,205.89
2025-06-05,0050.TW,206.59
2025-06-06,0050.TW,206.77
2025-06-09,0050.TW,209.92
2025-06-10,0050.TW,210.54
2025-06-11,0050.TW,213.49
2025-06-12,0050.TW,215.88
2025-06-13,0050.TW,216.28
2025-06-16,0050.TW,217.16
2025-06-17,0050.TW,219.78
2025-06-18,0050.TW,219.11
2025-06-19,0050.TW,216.17
2025-06-20,0050.TW,213.0
2025-06-23,0050.TW,212.39
2025-06-24,0050.TW,212.32
2025-06-25,0050.TW,211.2
2025-06-26,0050.TW,210.45
2025-06-27,0050.TW,208.94
2025-06-30,0050.TW,207.57
2025-07-01,0050.TW,208.64
2025-07-02,0050.TW,210.98
2025-07-03,0050.TW,212.17
2025-07-04,0050.TW,213.53
2025-07-07,0050.TW,213.73
2025-07-08,0050.TW,214.17
2025-07-09,0050.TW,215.93
2025-07-10,0050.TW,217.3
2025-07-11,0050.TW,217.8
2025-07-14,0050.TW,215.39
2025-07-15,0050.TW,218.31
2025-07-16,0050.TW,220.41
2025-07-17,0050.TW,219.25
2025-07-18,0050.TW,218.46
2025-07-21,0050.TW,219.51
2025-07-22,0050.TW,219.62
2025-07-23,0050.TW,217.21
2025-07-24,0050.TW,214.95
2025-07-25,0050.TW,217.18
2025-07-28,0050.TW,218.41
2025-07-29,0050.TW,222.79
2025-07-30,0050.TW,223.46
2025-07-31,0050.TW,225.54
2025-08-01,0050.TW,225.46
2025-08-04,0050.TW,224.44
2025-08-05,0050.TW,225.28
2025-08-06,0050.TW,226.89
2025-08-07,0050.TW,225.24
2025-08-08,0050.TW,228.47
2025-08-11,0050.TW,230.54
2025-08-12,0050.TW,233.32
2025-08-13,0050.TW,231.43
2025-08-14,0050.TW,228.45
2025-08-15,0050.TW,226.4
2025-08-18,0050.TW,226.14
2025-08-19,0050.TW,226.35
2025-08-20,0050.TW,229.86
2025-08-21,0050.TW,229.62
2025-08-22,0050.TW,226.94
2025-08-25,0050.TW,226.72
2025-08-26,0050.TW,228.45
2025-08-27,0050.TW,227.31
2025-08-28,0050.TW,230.41
2025-08-29,0050.TW,227.09
2025-09-01,0050.TW,227.11
2025-09-02,0050.TW,227.63
2025-09-03,0050.TW,230.53
2025-09-04,0050.TW,230.19
2025-09-05,0050.TW,229.35
2025-09-08,0050.TW,228.72
2025-09-09,0050.TW,229.56
2025-09-10,0050.TW,227.26
2025-09-11,0050.TW,225.21
2025-09-12,0050.TW,227.42
2025-09-15,0050.TW,226.37
2025-09-16,0050.TW,223.54
2025-09-17,0050.TW,221.02
2025-09-18,0050.TW,220.95
2025-09-19,0050.TW,221.28
2025-09-22,0050.TW,222.76
2025-09-23,0050.TW,222.36
2025-09-24,0050.TW,219.44
2025-09-25,0050.TW,219.35
2025-09-26,0050.TW,218.42
2025-09-29,0050.TW,217.78
2025-09-30,0050.TW,218.31
2025-10-01,0050.TW,217.6
2025-10-02,0050.TW,218.78
2025-10-03,0050.TW,217.58
2025-10-06,0050.TW,216.38
2025-10-07,0050.TW,218.29
2025-10-08,0050.TW,220.18
2025-10-09,0050.TW,219.22
2025-10-10,0050.TW,216.82
2025-10-13,0050.TW,217.37
2025-10-14,0050.TW,218.36
