date,ticker,close
2025-04-24,2330.TW,820.0
2025-04-25,2330.TW,828.89
2025-04-28,2330.TW,836.02
2025-04-29,2330.TW,860.88
2025-04-30,2330.TW,857.29
2025-05-01,2330.TW,866.44
2025-05-02,2330.TW,887.78
2025-05-05,2330.TW,854.59
2025-05-06,2330.TW,875.77
2025-05-07,2330.TW,927.72
2025-05-08,2330.TW,924.33
2025-05-09,2330.TW,935.23
2025-05-12,2330.TW,962.83
2025-05-13,2330.TW,963.92
2025-05-14,2330.TW,969.9
2025-05-15,2330.TW,955.36
2025-05-16,2330.TW,973.54
2025-05-19,2330.TW,980.01
2025-05-20,2330.TW,985.87
2025-05-21,2330.TW,991.82
2025-05-22,2330.TW,995.46
2025-05-23,2330.TW,1030.94
2025-05-26,2330.TW,992.48
2025-05-27,2330.TW,966.05
2025-05-28,2330.TW,976.63
2025-05-29,2330.TW,983.03
2025-05-30,2330.TW,985.19
2025-06-02,2330.TW,967.09
2025-06-03,2330.TW,957.83
2025-06-04,2330.TW,937.69
2025-06-05,2330.TW,913.64
2025-06-06,2330.TW,912.33
2025-06-09,2330.TW,882.16
2025-06-10,2330.TW,912.07
2025-06-11,2330.TW,948.6
2025-06-12,2330.TW,949.54
2025-06-13,2330.TW,951.43
2025-06-16,2330.TW,968.16
2025-06-17,2330.TW,982.55
2025-06-18,2330.TW,960.2
2025-06-19,2330.TW,958.08
2025-06-20,2330.TW,947.17
2025-06-23,2330.TW,921.14
2025-06-24,2330.TW,941.41
2025-06-25,2330.TW,960.5
2025-06-26,2330.TW,936.68
2025-06-27,2330.TW,925.55
2025-06-30,2330.TW,932.0
2025-07-01,2330.TW,962.54
2025-07-02,2330.TW,960.03
2025-07-03,2330.TW,979.01
2025-07-04,2330.TW,1005.5
2025-07-07,2330.TW,1028.92
2025-07-08,2330.TW,1017.71
2025-07-09,2330.TW,981.75
2025-07-10,2330.TW,973.35
2025-07-11,2330.TW,1026.2
2025-07-14,2330.TW,1010.84
2025-07-15,2330.TW,1028.08
2025-07-16,2330.TW,1046.44
2025-07-17,2330.TW,1024.83
2025-07-18,2330.TW,1018.5
2025-07-21,2330.TW,1036.62
2025-07-22,2330.TW,1043.21
2025-07-23,2330.TW,1059.75
2025-07-24,2330.TW,1066.57
2025-07-25,2330.TW,1063.7
2025-07-28,2330.TW,1030.21
2025-07-29,2330.TW,1046.7
2025-07-30,2330.TW,1018.69
2025-07-31,2330.TW,1010.15
2025-08-01,2330.TW,1021.77
2025-08-04,2330.TW,1012.71
2025-08-05,2330.TW,1013.89
2025-08-06,2330.TW,1004.86
2025-08-07,2330.TW,984.93
2025-08-08,2330.TW,979.6
2025-08-11,2330.TW,945.82
2025-08-12,2330.TW,985.23
2025-08-13,2330.TW,978.47
2025-08-14,2330.TW,980.29
2025-08-15,2330.TW,972.57
2025-08-18,2330.TW,985.97
2025-08-19,2330.TW,989.51
2025-08-20,2330.TW,1007.23
2025-08-21,2330.TW,974.16
2025-08-22,2330.TW,995.99
2025-08-25,2330.TW,965.14
2025-08-26,2330.TW,985.1
2025-08-27,2330.TW,989.06
2025-08-28,2330.TW,970.51
2025-08-29,2330.TW,973.74
2025-09-01,2330.TW,988.08
2025-09-02,2330.TW,1021.65
2025-09-03,2330.TW,1036.33
2025-09-04,2330.TW,1001.79
2025-09-05,2330.TW,988.29
2025-09-08,2330.TW,1018.8
2025-09-09,2330.TW,1021.97
2025-09-10,2330.TW,1021.22
2025-09-11,2330.TW,1011.43
2025-09-12,2330.TW,991.71
2025-09-15,2330.TW,990.48
2025-09-16,2330.TW,962.47
2025-09-17,2330.TW,952.38
2025-09-18,2330.TW,898.11
2025-09-19,2330.TW,903.32
2025-09-22,2330.TW,887.45
2025-09-23,2330.TW,870.11
2025-09-24,2330.TW,889.69
2025-09-25,2330.TW,898.95
2025-09-26,2330.TW,893.99
2025-09-29,2330.TW,895.66
2025-09-30,2330.TW,925.89
2025-10-01,2330.TW,930.56
2025-10-02,2330.TW,928.49
2025-10-03,2330.TW,949.89
2025-10-06,2330.TW,931.02
2025-10-07,2330.TW,936.93
2025-10-08,2330.TW,941.48
2025-10-09,2330.TW,920.79
2025-10-10,2330.TW,939.9
2025-10-13,2330.TW,923.21
2025-10-14,2330.TW,910.82
2025-10-15,2330.TW,914.5
2025-10-16,2330.TW,930.38
2025-10-17,2330.TW,887.87
2025-10-20,2330.TW,909.52
2025-10-21,2330.TW,918.28
2025-10-22,2330.TW,927.69
2025-10-23,2330.TW,943.47
2025-10-24,2330.TW,933.77
2025-10-27,2330.TW,905.06
2025-10-28,2330.TW,909.59
2025-10-29,2330.TW,895.21
2025-10-30,2330.TW,905.28
2025-10-31,2330.TW,909.59
2025-11-03,2330.TW,904.84
2025-11-04,2330.TW,938.46
2025-11-05,2330.TW,946.16
2025-11-06,2330.TW,930.3
2025-11-07,2330.TW,936.48
2025-11-10,2330.TW,942.39
2025-11-11,2330.TW,933.94
2025-11-12,2330.TW,949.05
2025-11-13,2330.TW,976.55
2025-11-14,2330.TW,948.86
2025-11-17,2330.TW,959.52
2025-11-18,2330.TW,968.95
2025-11-19,2330.TW,997.01
2025-11-20,2330.TW,965.55
2025-11-21,2330.TW,950.29
2025-11-24,2330.TW,957.29
2025-11-25,2330.TW,1021.16
2025-11-26,2330.TW,1021.87
2025-11-27,2330.TW,998.66
2025-11-28,2330.TW,1001.85
2025-12-01,2330.TW,1008.35
2025-12-02,2330.TW,999.68
2025-12-03,2330.TW,976.42
2025-12-04,2330.TW,982.73
2025-12-05,2330.TW,990.24
2025-12-08,2330.TW,991.28
2025-12-09,2330.TW,1039.54
2025-12-10,2330.TW,1023.4
2025-12-11,2330.TW,1025.39
2025-12-12,2330.TW,1031.77
2025-12-15,2330.TW,1041.41
2025-12-16,2330.TW,1079.31
2025-12-17,2330.TW,1051.68
2025-12-18,2330.TW,1048.38
2025-12-19,2330.TW,1029.75
2025-12-22,2330.TW,1036.05
2025-12-23,2330.TW,1019.14
2025-12-24,2330.TW,1041.26
2025-12-25,2330.TW,1027.3
2025-12-26,2330.TW,1029.86
2025-12-29,2330.TW,1024.33
2025-12-30,2330.TW,1025.75
2025-12-31,2330.TW,1066.6
2026-01-01,2330.TW,1050.96
2026-01-02,2330.TW,1065.98
2026-01-05,2330.TW,1073.16
2026-01-06,2330.TW,1079.48
2026-01-07,2330.TW,1121.73
2026-01-08,2330.TW,1139.06
2026-01-09,2330.TW,1145.07
2026-01-12,2330.TW,1133.63
2026-01-13,2330.TW,1139.38
2026-01-14,2330.TW,1152.04
2026-01-15,2330.TW,1158.06
2026-01-16,2330.TW,1157.48
2026-01-19,2330.TW,1185.57
2026-01-20,2330.TW,1182.93
2026-01-21,2330.TW,1206.89
2026-01-22,2330.TW,1243.02
2026-01-23,2330.TW,1258.53
2026-01-26,2330.TW,1312.78
2026-01-27,2330.TW,1279.6
2026-01-28,2330.TW,1273.18
2026-01-29,2330.TW,1296.24
2026-01-30,2330.TW,1281.35
2026-02-02,2330.TW,1246.48
2026-02-03,2330.TW,1284.58
2026-02-04,2330.TW,1291.63
2026-02-05,2330.TW,1305.78
2026-02-06,2330.TW,1318.31
2026-02-09,2330.TW,1324.07
2026-02-10,2330.TW,1284.86
2026-02-11,2330.TW,1262.75
2026-02-12,2330.TW,1249.16
2026-02-13,2330.TW,1268.74
2026-02-16,2330.TW,1319.65
2026-02-17,2330.TW,1288.8
2026-02-18,2330.TW,1270.21
2026-02-19,2330.TW,1269.28
2026-02-20,2330.TW,1248.97
2026-02-23,2330.TW,1279.78
